roof_id,country,complexity,feature_roof,digital_takeoff_minutes,real_takeoff_minutes,digital_pitch_deg,real_pitch_deg,measurement_type,measurement_no,digital_measurement,real_measurement,unit,difference,signed_variance_percent,absolute_variance_percent,notes
NZ-01,New Zealand,simple,,2:27,9:03,7,7.5,Roof Area,,237.63,232.5,m²,5.13,2.206,2.206,Featured visibility-limit example: part of a lower roof was hidden beneath upper roof/soffit geometry and could not be identified from the available top-down and Street View views. Two short edge measurements were therefore substantially under-measured.
NZ-01,New Zealand,,,,,,,Ridge,1,16.78,16.6,m,0.18,1.084,1.084,
NZ-01,New Zealand,,,,,,,Barge,Hidden section,2.1,3,m,-0.9,-30.0,30.0,Known remote-imagery visibility limitation: this lower-roof head barge extended beneath the upper roof/soffit. Only the exposed ~2.10 m was visible remotely; site measurement showed the full length was 3.00 m.
NZ-01,New Zealand,,,,,,,Ridge,3,14.94,14.9,m,0.04,0.268,0.268,
NZ-01,New Zealand,,,,,,,Barge,1,7.97,7.8,m,0.17,2.179,2.179,
NZ-01,New Zealand,,,,,,,Barge,2,1.2,1.1,m,0.1,9.091,9.091,
NZ-01,New Zealand,,,,,,,Barge,3,6.77,6.7,m,0.07,1.045,1.045,
NZ-01,New Zealand,,,,,,,Barge,4,6.59,6.4,m,0.19,2.969,2.969,
NZ-01,New Zealand,,,,,,,Barge,5,6.69,6.4,m,0.29,4.531,4.531,
NZ-01,New Zealand,,,,,,,Spouting,1,14.8,14.9,m,-0.1,-0.671,0.671,
NZ-01,New Zealand,,,,,,,Spouting,2,2.16,3,m,-0.84,-28.0,28.0,Known remote-imagery visibility limitation: this lower-roof spouting length continued beneath the upper roof/soffit. Only the exposed ~2.16 m was visible remotely; site measurement showed the full length was 3.00 m.
NZ-01,New Zealand,,,,,,,Spouting,3,9.01,8.9,m,0.11,1.236,1.236,
NZ-01,New Zealand,,,,,,,Spouting,4,7.46,7.2,m,0.26,3.611,3.611,
NZ-02,New Zealand,simple,,2:39,11:10,33,35,Roof Area,,233.95,215,m²,18.95,8.814,8.814,
NZ-02,New Zealand,,,,,,,Ridge,1,4.52,4.4,m,0.12,2.727,2.727,
NZ-02,New Zealand,,,,,,,Ridge,2,14.64,14.2,m,0.44,3.099,3.099,
NZ-02,New Zealand,,,,,,,Barge,1,7.06,7,m,0.06,0.857,0.857,
NZ-02,New Zealand,,,,,,,Barge,2,7.16,7,m,0.16,2.286,2.286,
NZ-02,New Zealand,,,,,,,Barge,3,0.78,0.7,m,0.08,11.429,11.429,
NZ-02,New Zealand,,,,,,,Barge,4,0.79,0.7,m,0.09,12.857,12.857,
NZ-02,New Zealand,,,,,,,Barge,5,3.31,3.3,m,0.01,0.303,0.303,
NZ-02,New Zealand,,,,,,,Barge,6,2.46,2.4,m,0.06,2.5,2.5,
NZ-02,New Zealand,,,,,,,Barge,7,3.74,3.7,m,0.04,1.081,1.081,
NZ-02,New Zealand,,,,,,,Barge,8,7.18,7.1,m,0.08,1.127,1.127,
NZ-03,New Zealand,Medium,,2:56,12:56,27,25,Roof Area,,309.12,301,m²,8.12,2.698,2.698,
NZ-03,New Zealand,,,,,,,Ridge,1,4.97,5.1,m,-0.13,-2.549,2.549,
NZ-03,New Zealand,,,,,,,Ridge,2,8.57,8.7,m,-0.13,-1.494,1.494,
NZ-03,New Zealand,,,,,,,Ridge,3,3.7,3.6,m,0.1,2.778,2.778,
NZ-03,New Zealand,,,,,,,Ridge,4,2.36,2.4,m,-0.04,-1.667,1.667,
NZ-03,New Zealand,,,,,,,Ridge,5,3.83,3.9,m,-0.07,-1.795,1.795,
NZ-03,New Zealand,,,,,,,Hip,1,7.2,7.3,m,-0.1,-1.37,1.37,
NZ-03,New Zealand,,,,,,,Hip,2,7.31,7.3,m,0.01,0.137,0.137,
NZ-03,New Zealand,,,,,,,Hip,3,3.61,3.5,m,0.11,3.143,3.143,
